No.,Filing Yr,Pub Yr.,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Filing Date,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous,Filing Year,
348,2011,2012,10 May 12,US 2012/0110931 A1,"Patrina Eiffert, Annett Eiffert",,Solar Mounting/Rack,"13/285,942",10/31/2011,ISOLATION MOUNT AND METHODS THEREFOR,31 Oct 11,Individual,,,"(Golden, CO)",CO,USA,An isolation mount comprises a hollow wedge shaped shell having an upper sloped surface and at least three sidewalls extending therefrom to join a surrounding flange. The wedge shaped shell is thermoformed from a rigid plastic material. The upper sloped surface may include stiffening ribs and the shell may include a ballast recess adapted to contain roofing ballast. The inner perimeter portion of a skirt membrane is secured to the surrounding flange and an outer perimeter portion of the skirt extends away from the surrounding flange and is securable to a surface. The inner perimeter portion may be sealed to the surrounding flange. The inner perimeter portion defines a skirt membrane opening leading into a hollow region of the shell such that multiple isolation mounts may be stacked together.,plastic wedge-shaped mount for large scale PV installations,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120110931%22.PGNR.&OS=DN/20120110931&RS=DN/20120110931,0,0,,"[0001] This application is a continuation-in-part of U.S. patent application Ser. No. 12/886,973, filed Sep. 21, 2010, which is a continuation-in-part of U.S. patent application Ser. No. 11/933,902, filed Nov. 1, 2007, now U.S. Pat. No. 7,810,286, the disclosures of which are hereby incorporated by reference in their entireties.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2011,
391,2011,2012,24-May-12,US 2012/0126629 A1,"Matthias Georgi, Olaf Storbeck, Harald Hahn, Martin Kutzer",SOLARWORLD INNOVATIONS GMBH,Solar Inverter; Solar Monitoring,"13/294,237",11/11/2011,"Controller, power inverter, photovoltaic power supply system, and method for controlling deactivation of at least one photovoltaic module ",11-Nov-11,Established,,,Freiberg,,Germany,"Various embodiments may provide a controller for photovoltaic power supply, configured to be connected with one or more photovoltaic modules and configured to be connected with an AC grid terminal, wherein the controller is configured to monitor the status of the AC grid power and to generate a signal for deactivation of the photovoltaic modules if the AC power is off, wherein the controller is further configured to generate the signal such that it controls the activation of the at least one photovoltaic module with an active signal having a non-zero signal voltage level and such that it controls the deactivation of the at least one photovoltaic module with an inactive signal, wherein the deactivation of the at least one photovoltaic module results in that the connections between a plurality of photovoltaic modules are interrupted or that the photovoltaic modules are short circuited.",,Solar power management system to enable energy produce to be contained if the system is disconnected from grid. Inverters are part  of the invention. ,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=29&f=G&l=50&co1=AND&d=PG01&s1=Inverter.CLM.&s2=Photovoltaic.CLM.&OS=ACLM/Inverter+AND+ACLM/Photovoltaic&RS=ACLM/Inverter+AND+ACLM/Photovoltaic,,,,"[0001] This application claims priority to European Patent Application Serial No. 10 192 244.1, which was filed Nov. 23, 2010, and is incorporated herein by reference in its entirety.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,TRUE,,TRUE,,2011,
318,2011,2012,24 May 12,US 2012/0124922 A1,"Paul R. Cusson, Michael G. Greenamyer, Bernard G. Petro, Thomas P. Kilar, JR., Robert J. Voytilla",Northern States Metals Company,Solar Mounting/Rack,"13/297,397",11/16/2011,SUPPORT SYSTEM FOR CARPORT WITH SOLAR PANELS,16 Nov 11,Established,,Inverter manufacturer,"West Hartford, CT",CT,USA,"A roof panel support system is supported by at least two structural beams, and includes a support matrix for panels, such as solar panels, that can constitute the roof of a structure. The support matrix includes panel rails that can hold panels installed from beneath the support matrix.",Fabricated metal mounting for stand-alone PV systems ,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120124922%22.PGNR.&OS=DN/20120124922&RS=DN/20120124922,0,0,,"[0001] The present application claims priority to the following U.S. application Ser. Nos.: 12/383,240 filed Mar. 29, 2009; 12/567,908 filed Sep. 28, 2009; 12/686,598 filed Jan 13, 2010; 61/414,963 filed Nov. 18, 2010; 61/539,653 filed Sep. 27, 2011; and, 13/115,506 filed May 25, 2011, making reference to each in its entirety, and incorporating each herein.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,http://www.extrusions.com/About.html,,FALSE,TRUE,FALSE,,,,2011,
334,2011,2012,24 May 12,US 2012/0125409 A1,"Werner BELSCHNER, Matthias BARIE, Timo HANSELMANN",WUERTH SOLAR GMBH & CO. KG,Solar Mounting/Rack,"13/298,392",11/17/2011,FASTENING OF PANEL-TYPE ELEMENTS,17 Nov 11,Established,,,Schwaebisch Hall,,Germany,"A mounting system for panel-type elements, in particular facade elements, thermoelectric generator elements, thermal solar collectors, photovoltaic modules or solar modules is described, for fastening and securing the element on at least one upper and one lower transverse rail, which are arranged in parallel with and at a spacing from each other for holding an element. The mounting system includes: at least one fastening member fixedly connected to the back side of the element and having at least one anchoring member arranged substantially perpendicularly to the back side for fastening to the upper transverse rail. In the installed position of the element, the fastening member has a smaller distance, relative to a line of slope, from an upper edge of an outer contour of the element than from a lower edge of the outer contour. A panel-type element including a like mounting system, as well as a substructure for holding such an element are also described.",rail-based mounting system for panels (PV),Mounting is part of the overall solar thermal energy system,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120125409%22.PGNR.&OS=DN/20120125409&RS=DN/20120125409,0,0,,"[0001] The present application claims priority from German Application DE 10 2010 051 468.3, filed on Nov. 17, 2010.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,http://www.wuerth-solar.de/solar/en/wuerth_solar_2012/home_solar/Solar_2012_Startseite.php,,FALSE,TRUE,FALSE,,,,2011,
349,2011,2012,12 Jul 12,US 2012/0174504 A1,Pierino Ferrara,,Solar Mounting/Rack,"13/302,041",11/22/2011,ROOFTOP SYSTEM WITH INTEGRATED PHOTOVOLTAIC MODULES AND METHOD FOR CONSTRUCTING THE SAME ,22 Nov 11,Individual,n/a,Solar Power tracking and communications; ,"(Tossicia, IT)",,Italy,"This invention provides a novel design of a rooftop with structurally and functionally integrated photovoltaic modules that includes photovoltaic modules, which can be commercially available and which are augmented with additional framing including additional structural and functional layers. The modules are mounted on a grid like supporting structure sitting on vertical elevation structures, such as building walls or columns. The design enables cost reduction, fast installation and improved performance of rooftops with photovoltaic power.",Roof integrated solar cells,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120174504%22.PGNR.&OS=DN/20120174504&RS=DN/20120174504,o,o,,"[0001] This application claims the benefit of U.S. Provisional Application Ser. No. 61/431,901, filed Jan. 12, 2011, entitled ROOFTOP SYSTEM WITH INTEGRATED PHOTOVOLTAIC MODULES AND METHOD FOR CONSTRUCTING THE SAME, the entire disclosure of which is herein incorporated by reference.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2011,
350,2011,2012,15 Mar 12,US 2012/0060902 A1,Kenneth C. Drake,,Solar Mounting/Rack,"13/303,360",11/23/2011,SYSTEM AND METHOD FOR FRAMELESS LAMINATED SOLAR PANELS,23 Nov 11,Individual,,,,USA,USA,An apparatus for securing solar panels to a roof includes a photovoltaic cell and a mounting frame sized to receive the photovoltaic cell. The mounting frame is configured to be securely fastened directly to a roof of a structure and form a vapor barrier on the roof.,,Method and devices to fasten solar modules to roofs,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=65&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,0,0,,"[0001] This application is a Continuation-In-Part application of U.S. patent application Ser. No. 13/008,652, filed Jan. 18, 2011 and titled ""System and Method for Forming Roofing Solar Panels,"" which application claims the benefit under 35 U.S.C. .sctn.119(e) of U.S. Provisional Patent Application No. 61/295,842 filed Jan. 18, 2010 titled ""System and Method for Forming Roofing Solar Panels,"" which applications are incorporated herein by reference in their entireties.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2011,
389,2011,2012,12-Jul-12,US 2012/0175963 A1,"Meir Adest, Lior Handelsman, Yoav Galin, Amir Fishelov, Guy Sella",SOLAREDGE TECHNOLOGIES LTD.,Solar Inverter; Solar Monitoring,"13/308,517",11/30/2011,Distributed Power Harvesting Systems Using DC Power Sources ,30-Nov-11,Start-up,Privately owned,,Hod Hasharon,,Israel,"A system and method for combining power from DC power sources. Each power source is coupled to a converter. Each converter converts input power to output power by monitoring and maintaining the input power at a maximum power point. Substantially all input power is converted to the output power, and the controlling is performed by allowing output voltage of the converter to vary. The converters are coupled in series. An inverter is connected in parallel with the series connection of the converters and inverts a DC input to the inverter from the converters into an AC output. The inverter maintains the voltage at the inverter input at a desirable voltage by varying the amount of the series current drawn from the converters. The series current and the output power of the converters, determine the output voltage at each converter.",,Multiple DC power generation sources to maximize output. Inverter is one part of the system and method. ,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=7&f=G&l=50&d=PG01&s1=Inverter.CLM.&s2=Photovoltaic.CLM.&co1=AND&p=1&OS=ACLM/Inverter+AND+ACLM/Photovoltaic&RS=ACLM/Inverter+AND+ACLM/Photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,TRUE,FALSE,TRUE,,TRUE,,2011,
386,2011,2012,29-Mar-12,US 2012/0075894 A1,Patrick Chapman,SolarBridge Technologies,Solar Inverter,"13/309,909",12/2/2011,Configurable Power Supply Assembly,2-Dec-11,Start-up,Privately owned,,"Austin, TX",TX,USA,"An apparatus, device, and system for generating an amount of output power in response to a direct current (DC) power input includes a configurable power supply, which may be electrically coupled to the DC power input. The configurable power supply is selectively configurable between multiple circuit topologies to generate various DC power outputs and/or and AC power output. The system may also include one or more DC power electronic accessories, such as DC-to-DC power converters, and/or one or more AC power electronic accessories such as DC-to-AC power converters. The power electronic accessories are couplable to the configurable power supply to receive the corresponding DC or AC power output of the configurable power supply.",Micro inverter is changeable. Innovation is around the inverter,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=52&f=G&l=50&co1=AND&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,"[0001] The present application a continuation application of U.S. application Ser. No. 13/180,170, entitled ""CONFIGURABLE POWER SUPPLY ASSEMBLY,"" which was filed on Jul. 11, 2011 and which claims priority under 35 U.S.C..sctn.119(e) to U.S. Provisional Patent Application Ser. No. 61/479,844, entitled ""MODULAR PHOTOVOLTAIC POWER SUPPLY ASSEMBLY"" by Patrick Chapman, which was filed on Apr. 27, 2011, the entirety of both of which is hereby incorporated by reference. [0002] Cross-reference is also made to U.S. Utility patent application Ser. No. 13/180,169 entitled ""MODULAR PHOTOVOLTAIC POWER SUPPLY ASSEMBLY"" by Patrick Chapman et al., which was filed on Jul. 11, 2011 and to U.S. Utility patent application Ser. No. 13/180,176 entitled ""METHOD AND DEVICE FOR CONTROLLING A CONFIGURABLE POWER SUPPLY"" by Patrick Chapman, which was filed on Jul. 11, 2011.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2011,
408,2011,2012,26-Apr-12,US 2012/0098346 A1,"Paul Garrity, Aaron Michael Jungreis",,Solar Inverter,"13/310,691",12/2/2011,Renewable Energy Power Generation Systems ,2-Dec-11,,,,"(Rockwall, TX)",TX,USA,"We describe a modular adjustable power factor renewable energy inverter system. The system comprises a plurality of inverter modules having a switched capacitor across its ac power output, a power measurement system coupled to a communication interface, and a power factor controller to control switching of the capacitor. A system controller receives power data from each inverter module, sums the net level of ac power from each inverter, determines a number of said capacitors to switch based on the sum, and sends control data to an appropriate number of the inverter modules to switch the determined number of capacitors into/out of said parallel connection across their respective ac power outputs.",Inverter efficiency,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=39&f=G&l=50&co1=AND&d=PG01&s1=Inverter.CLM.&s2=Photovoltaic.CLM.&OS=ACLM/Inverter+AND+ACLM/Photovoltaic&RS=ACLM/Inverter+AND+ACLM/Photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2011,
21,2011,2012,20 Jun 08,US 2012/0153888 A1 ,Hyun Chul JUNG,KT Corporation,Solar Monitoring,"13/314,406 ",320/101,"CHARGING/DISCHARGING SYSTEM FOR SOLAR LIGHT POWER GENERATOR IN SMART GRID ENVIRONMENT WITH REAL-TIME PRICING, DUPLEX CONVERTOR OF CHARGING/DISCHARGING SYSTEM, AND CHARGING/DISCHARGING METHOD FOR SOLAR LIGHT POWER GENERATOR",7 Dec 07,Established,Publicly Traded,,Gyeonggi-do,N/A,South Korea,"Provided are a charging and discharging system for a solar light power generator in a smart grid environment, a method of operating the same, and a duplex converter for charging and discharging electricity into/from a battery. The system includes: an electricity price monitoring part which collects electricity price information from an electric grid; an electricity charge amount monitoring part which collects electricity charge amount information of a battery; a charge and discharge determination part which determines whether electricity supplied from the electric grid is to be charged into the battery or whether electricity stored in the battery via the electric grid or the solar light power generator is to be discharged to the electric grid, based on the price information and the charge amount information; and a charging and discharging part including the battery, so that electricity is charged into or discharged from the battery based on the determination. ",Solar system monitoring,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=170&p=4&f=G&l=50&d=PG01&S1=%28%28solar.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29+OR+%28photovoltaic.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,,,,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,
324,2011,2012,12 Jul 12,US 2012/0175322 A1,"Samuel PARK, Mahnyong PARK","SOLAR CLAM-P, LLC",Solar Mounting/Rack,"13/316,007",12/9/2011,Panel Mounting System and Method,9 Dec 11,,,Extrusion maker,"(Philadephia, PA)",PA,USA,"The present invention relates to a panel clamp securable to a variety of mounting mechanisms. The clamp includes first and second members, each having an edge extending beyond at least a portion of its side surface to form an overhang, and each includes a plurality of holes passing therethrough. When the overhang of the first member is fitted over a top surface of a panel and the overhang of the second member is fitted over a bottom surface of the panel, such that the plurality of holes in the first member is substantially aligned with the plurality of holes in the second member, mechanical fasteners can be inserted through the plurality of holes to secure the first and second members to the panel. An additional mechanical fastener is inserted through the clamp to secure the clamp to a mounting mechanism.",mounting clamp for solar panels,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=17&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=1&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,0,0,,"[0001] The present application claims priority under 35 U.S.C. .sctn.119(e) to U.S. Provisional Application Nos. 61/459,267, filed Dec. 10, 2010, 61/464,911, filed Mar. 11, 2011 and 61/571,210, filed Jun. 23, 2011, the entire disclosures of which are incorporated by reference herein as if each being set forth herein in its entirety.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2011,
351,2011,2012,15/03/2012,US 2012/0061337 A1,"Martin N. Seery, Rodney H. Holland, Jeff Hartnett, Isaac Childress, Todd Pelman",,Solar Mounting/Rack,"13/317,142",10/11/2011,Photovoltaic module mounting system,11 Oct 11,,,PV installer and mounting supplier,"(San Francisco, CA)",CA,USA,"A photovoltaic module mounting system using clamps to attach the modules to a mounting structure, thereby providing a universal mounting structure for use with laminate or framed modules of differing shapes and sizes, from different manufacturers.",rail system for mounting PV panels,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=63&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2011,
32,2011,2012,22 Feb 08,2012/0047386 A1,Ryoji Matsui,Unassigned,Solar Monitoring,"13/318,260",713/340,CONTROL APPARATUS AND CONTROL METHOD ,30 Oct 07,Unknown,Unknown,n/a,Osaka,N/A,Japan,"There is provided a control apparatus that instantaneously switches a DC/DC converter from a maximum-power-point tracking operation to an output voltage control operation, and can constantly supply an electric power to a load. The control apparatus includes a first electric power supply device, a second electric power supply device that operates as a voltage source and has a supply voltage changing depending on conditions, an electric power converter that converts electric powers of the first electric power supply device and the second electric power supply device into desired electric powers, a monitoring unit that acquires device information of the second electric power supply device and output information of the electric power converter, and a control unit that controls the electric power converter on the basis of the information acquired by the monitoring unit. ",Power system monitoring,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=255&p=6&f=G&l=50&d=PG01&S1=%28%28solar.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29+OR+%28photovoltaic.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,,,,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,
394,2010,2012,23-Feb-12,US 2012/0042588 A1,"Robert Warren Erickson, JR.",The Regents of the University of Colorado,Solar Inverter,"13/318,589",5/10/2010,INTEGRATED PHOTOVOLTAIC MODULE,10-May-10,,,,"(Boulder, CO)",CO,USA,"The disclosed embodiments increase the power generated by a photovoltaic (PV) array, when the PV panels within the PV array are not uniformly illuminated or oriented or when PV panels are mismatched (e.g., have varying performance characteristics) and/or operate at non-uniform temperatures. It also provides simpler interconnection and wiring of the elements (e.g., PV panels) of the array. A dc-dc converter comprised of a DC transformer is coupled to each PV panel in a photovoltaic array to generate an increased dc voltage from a lower dc voltage produced by the PV panel. The outputs of the dc-dc converters are connected in parallel to a dc bus, which distributes the resulting voltage. As a result, the energy generated by the PV array is increased, the costs of system design and installation are reduced, and it becomes feasible to install PV arrays in new locations such as on gabled or non-planar roofs.",Inverter coupled directly to PV cells,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=76&f=G&l=50&co1=AND&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=%28ACLM/inverter+AND+ACLM/photovoltaic%29,,,,,Application Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2010,
321,2010,2012,12 Apr 12,US 2012/0085395 A1,"Hans-Werner Kuster, Felix Kuster",SAINT-GOBAIN GLASS FRANCE,Solar Mounting/Rack,"13/319,894",5/12/2010,SOLAR MODULE ATTACHMENT DEVICE AND MOUNTING METHOD,12 May 10,Established,,"Solar monitoring, harvesting firm",Courbevoie,,France,"An attachment device for a module for collecting energy originating from solar radiation to a structure, such as a roof, a facade, or a mounting structure of a ground-mounted structure, wherein the module includes on its rear face at least one reinforcing profiled section. The attachment device includes at least one support secured to the structure. The support includes a snap-fastening mechanism with respect to the reinforcing profiled section of the module, which snap-fastening mechanism can be activated by applying a one-way thrust force pushing the module in the direction of the structure.",device intended to speed the installaiton and removal of solar modules to mounting systems. ,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=53&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2010,
406,2011,2012,22-Mar-12,US 2012/0068543 A1,"Alessandro Caraglio, Paolo Carletti",,Solar Inverter,"13/321,885",11/22/2011,APPARATUS AND METHOD FOR MANAGING AND CONDITIONING PHOTOVOLTAIC POWER HARVESTING SYSTEMS ,22-Nov-11,,,Integrated micro-inverter manufacturer,(Pontedera),,Italy,The efficiency of a PV power generation system (10) is maximised by an apparatus providing series of electronic units (20) connected to the PV modules (12) and comprising microprocessor controlled DC converters/power supply units. A managing unit (60) communicates with the electronic units (20) of a string (11) in order to carry out a synergic optimization of the efficiency both of the single PV modules (12) and of the entire string (11). The apparatus also provides PV module (12) by PV module (12) diagnostic features and it is able to communicate with external devices for a full system control.,,Inverter is part of the invention,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=57&f=G&l=50&co1=AND&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2011,
388,2011,2012,12-Apr-12,US 2012/0087158 A1,"Patrick Chapman, Philip Krein",SolarBridge Technologies,Solar Inverter,"13/324,023",12/13/2011,Method and Apparatus for Controlling an Inverter Using Pulse Mode Control,13-Dec-11,Start-up,Privately owned,,"Austin, TX",TX,USA,"A method and apparatus for controlling an inverter includes operating the inverter in a one of a normal run mode or a pulse mode depending on one or more criteria. When operating in the pulse mode, the inverter generates a sinusoidal output pulse waveform including a plurality of pulses having a determined pulse width. The pulse width is less than a half-wave period of a full-cycle sinusoidal waveform and may be determined as function of, for example, the output power of the inverter, a grid voltage, and/or other criteria.",Device and method for controlling Inverter performance,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=46&f=G&l=50&co1=AND&d=PG01&s1=Inverter.CLM.&s2=Photovoltaic.CLM.&OS=ACLM/Inverter+AND+ACLM/Photovoltaic&RS=ACLM/Inverter+AND+ACLM/Photovoltaic,,,,"[0001] The present application claims priority under 35 U.S.C. .sctn.119(e) to U.S. Provisional Patent Application Ser. No. 61/548,018, entitled ""METHOD AND APPARATUS FOR CONTROLLING AN INVERTER USING PULSE MODE CONTROL"" by Patrick Chapman et al., which was filed on Oct. 17, 2011, the entirety of which is hereby incorporated by reference.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2011,
,2011,2012,23-Aug-12,US20120210660 A1," Michael E. Blackburn, Peter Chihlas, JR. Joseph C. Gombarick, Gregory F. Jacobs, Husnu M. Kalkanoglu, Robert D. Livsey, Michael J. Noone, Stephen W. Steffes",,Solar Mounting/Rack,"13/326,094",12/14/2011,Roofing Product with Integrated Photovoltaic Elements and Flashing System,14-Dec-11,,,Telecommunications technology,,,USA,"The present invention relates generally to the photovoltaic generation of electrical energy. The present invention relates more particularly to photovoltaic arrays for use in photovoltaically generating electrical energy. Aspects of the present invention provide a variety of photovoltaic roofing elements and systems that include, for example, interlocking geometries to provide for water handling and integration with conventional roofing materials; and wire management features that can protect wiring and associated electrical components from physical and/or environmental damage.",Roofing elements and mounting structure for PV modules. ,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120210660%22.PGNR.&OS=DN/20120210660&RS=DN/20120210660,0,1,,"The present application claims priority to U.S. Provisional Patent Application Ser. No. 61/429,053; U.S. Provisional Patent Application Ser. No. 61/528,631; and U.S. Provisional Patent Application Ser. No. 61/559,614, each of which is hereby incorporated herein by reference in its entirety.",Application Search,Mounting (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2011,
